"",genderLabel,article
Ursula Lehmkuhl,weiblich,https://de.wikipedia.org/wiki/Ursula_Lehmkuhl
Veit Krenn,männlich,https://de.wikipedia.org/wiki/Veit_Krenn
William M. Adams,männlich,https://de.wikipedia.org/wiki/William_M._Adams
Wolfgang Fiedler,männlich,https://de.wikipedia.org/wiki/Wolfgang_Fiedler_(Biologe)
Wolfgang Lutz,männlich,https://de.wikipedia.org/wiki/Wolfgang_Lutz_(Psychologe)
Piet Hut,männlich,https://de.wikipedia.org/wiki/Piet_Hut
Bill Nye,männlich,https://de.wikipedia.org/wiki/Bill_Nye
Jeffery Kelly,männlich,https://de.wikipedia.org/wiki/Jeffery_Kelly
Jennifer Aaker,weiblich,https://de.wikipedia.org/wiki/Jennifer_Aaker
Andrew Goldstein,männlich,https://de.wikipedia.org/wiki/Andrew_Goldstein
Camilla Stoltenberg,weiblich,https://de.wikipedia.org/wiki/Camilla_Stoltenberg
Shlomo Shamai,männlich,https://de.wikipedia.org/wiki/Shlomo_Shamai
Bogaletch Gebre,weiblich,https://de.wikipedia.org/wiki/Bogaletch_Gebre
Axel Cleeremans,männlich,https://de.wikipedia.org/wiki/Axel_Cleeremans
André Ourednik,männlich,https://de.wikipedia.org/wiki/Andr%C3%A9_Ourednik
Peter Turchin,männlich,https://de.wikipedia.org/wiki/Peter_Turchin
Carlos Moreno,männlich,https://de.wikipedia.org/wiki/Carlos_Moreno_(Urbanist)
Elmar Mock,männlich,https://de.wikipedia.org/wiki/Elmar_Mock
Sun Laiyan,männlich,https://de.wikipedia.org/wiki/Sun_Laiyan
Almut Leh,weiblich,https://de.wikipedia.org/wiki/Almut_Leh
Jan Wulf-Schnabel,männlich,https://de.wikipedia.org/wiki/Jan_Wulf-Schnabel
Thomas Ernst,männlich,https://de.wikipedia.org/wiki/Thomas_Ernst_(Schriftsteller)
Brené Brown,weiblich,https://de.wikipedia.org/wiki/Bren%C3%A9_Brown
Lena Liepe,weiblich,https://de.wikipedia.org/wiki/Lena_Liepe
Karim R. Lakhani,männlich,https://de.wikipedia.org/wiki/Karim_R._Lakhani
